building_id,uid_a,uid_b,shared_boundary_m,angle_deg,vertical_separation_m,merged_same_plane,same_building_part
DEBW522AA0002574d,S0062,S0134,0.619257886628336,27.718472106572094,1.4040898573711331,False,True
DEBW522AA0002574d,S0062,S0144,0.6105735010710065,27.718472106572094,3.6212323960392894,False,True
DEBW522AA0002574d,S0063,S0064,1.6434719345472462,0.011470578181624455,7.096033698417159e-07,True,True
DEBW522AA0002574d,S0063,S0065,1.4956603888688844,13.887467101217469,0.0006375833660001717,False,True
DEBW522AA0002574d,S0063,S0144,0.6826419267762447,13.887467101217469,3.2991405352633763,False,True
DEBW522AA0002574d,S0064,S0134,0.6742035758931963,13.87707070831325,1.2046430429470831,False,True
DEBW522AA0002574d,S0065,S0134,0.6964194138909668,0.0,1.131000000000057,False,True
DEBW522AA0002574d,S0065,S0144,0.6964265814927192,0.0,3.1309999999999434,False,True
DEBW522AA0002574d,S0066,S0067,1.5000000001629814,0.033502484102917424,6.3677851187549095e-06,True,True
DEBW522AA0002574d,S0066,S0144,0.1360232527541106,83.03000537623859,5.707653929629089,False,True
DEBW522AA0002574d,S0067,S0134,0.13906117056700007,83.05686902585454,3.6773277754560922,False,True
DEBW522AA0002574d,S0068,S0069,1.4999999994179234,0.033522438316331046,6.075360971635746e-05,True,True
DEBW522AA0002574d,S0068,S0070,1.4956603888996296,13.824123234654841,0.014039832721692846,False,True
DEBW522AA0002574d,S0068,S0134,0.13124057269746295,83.08582226288259,3.5544030021407025,False,True
DEBW522AA0002574d,S0069,S0144,0.1390118143374393,83.11267841969223,5.586584135177787,False,True
DEBW522AA0002574d,S0070,S0072,1.4956603888688844,13.841589810982326,0.003116371493888437,False,True
DEBW522AA0002574d,S0070,S0134,0.24705574720963708,69.2616990282277,3.1020902235293306,False,True
DEBW522AA0002574d,S0070,S0144,0.2469817806140698,69.2616990282277,4.650085921695535,False,True
DEBW522AA0002574d,S0071,S0072,1.5469001255816741,0.06354976305600671,7.034217873069792e-06,True,True
DEBW522AA0002574d,S0071,S0144,0.39962482405597566,55.36251027260118,4.653209327407296,False,True
DEBW522AA0002574d,S0072,S0134,0.054721359524315935,55.42010921724535,2.595459375635471,False,True
DEBW522AA0002574d,S0073,S0074,1.611117625272073,0.013734909328365217,1.0788010058604414e-06,True,True
DEBW522AA0002574d,S0073,S0100,1.495660389659692,13.757875493617055,0.0003390289914761979,False,True
DEBW522AA0002574d,S0073,S0144,0.6195345704619398,27.718577219556902,3.6152644171891666,False,True
DEBW522AA0002574d,S0074,S0075,1.4818906848133067,13.9202593369841,0.0007053163843409038,False,True
DEBW522AA0002574d,S0074,S0134,0.6158940705385009,27.73102481826389,1.582569610060034,False,True
DEBW522AA0002574d,S0075,S0076,1.4904026297977728,13.810765638755033,0.00010388259386218124,False,True
DEBW522AA0002574d,S0075,S0134,0.6688796606259741,13.810765638755033,1.2974178903907614,False,True
DEBW522AA0002574d,S0075,S0144,0.6741661512657341,13.810765638755033,3.2976139754366045,False,True
DEBW522AA0002574d,S0076,S0077,1.4956603888688844,13.87716100033338,9.416079714696934e-05,False,True
DEBW522AA0002574d,S0076,S0134,0.7049113419819274,0.0,1.1320000000000618,False,True
DEBW522AA0002574d,S0076,S0144,0.6965268315039657,0.0,3.131999999999948,False,True
DEBW522AA0002574d,S0077,S0078,1.6335544059898852,0.011463701715408224,6.169134394440334e-07,True,True
DEBW522AA0002574d,S0077,S0144,0.6775258655118053,13.87716100033338,3.2253206251693314,False,True
DEBW522AA0002574d,S0078,S0079,1.49040262976731,13.790712543950153,0.0004963085376630261,False,True
DEBW522AA0002574d,S0078,S0134,0.6692210685653056,13.887551177968877,1.2338312470115511,False,True
DEBW522AA0002574d,S0079,S0080,1.6209873530699583,0.02218159443049831,1.1768129297706764e-06,True,True
DEBW522AA0002574d,S0079,S0144,0.6158857735064862,27.678263721919066,3.4483887838396754,False,True
DEBW522AA0002574d,S0080,S0081,1.4956603888996296,13.926372415915555,0.0006655159614865624,False,True
DEBW522AA0002574d,S0080,S0134,0.62438502957797,27.658155921527108,1.403611636754107,False,True
DEBW522AA0002574d,S0081,S0082,1.4956603896904372,13.778164280828356,0.0014460605763417789,False,True
DEBW522AA0002574d,S0081,S0134,0.5162363797337902,41.584528337434925,2.0846850029263067,False,True
DEBW522AA0002574d,S0081,S0144,0.5162363802208871,41.584528337434925,4.081708670409313,False,True
DEBW522AA0002574d,S0082,S0083,1.5469001264896518,0.06356190394135801,3.4739118746074382e-06,True,True
DEBW522AA0002574d,S0082,S0144,0.39962482405597566,55.36269261824933,4.658745290317171,False,True
DEBW522AA0002574d,S0083,S0084,1.4904026305609075,13.881885972026451,0.0014409360339868726,False,True
DEBW522AA0002574d,S0083,S0134,0.3915669143067907,55.420295800713646,2.495686528914433,False,True
DEBW522AA0002574d,S0084,S0085,1.5098675436001432,0.04453391979219743,8.285395978191445e-06,True,True
DEBW522AA0002574d,S0084,S0134,0.24703958279582647,69.30218177274011,3.1117544250337517,False,True
DEBW522AA0002574d,S0085,S0113,1.49040262976731,13.7806863991036,0.0073254317357509535,False,True
DEBW522AA0002574d,S0085,S0144,0.24698178066356177,69.26182972595426,5.312483773711051,False,True
DEBW522AA0002574d,S0086,S0087,1.589024858941523,0.051228633991264524,6.3773008207590465e-06,True,True
DEBW522AA0002574d,S0086,S0144,0.5215812964429207,41.53797475449467,3.747284207932182,False,True
DEBW522AA0002574d,S0087,S0088,1.4956603896904372,13.835821147325964,0.0015366155397487091,False,True
DEBW522AA0002574d,S0087,S0134,0.06830951983035351,41.58440336113481,2.0340441044441775,False,True
DEBW522AA0002574d,S0088,S0089,1.5469001264896518,0.06351057200703808,2.329265100797784e-06,True,True
DEBW522AA0002574d,S0088,S0144,0.39962482405597566,55.420224508460805,4.659769739903879,False,True
DEBW522AA0002574d,S0089,S0090,1.504160895860035,13.899094931103793,0.0022817501815950436,False,True
DEBW522AA0002574d,S0090,S0091,1.5041608958906063,13.824052657068583,0.011355262390310372,False,True
DEBW522AA0002574d,S0090,S0144,0.2469817806140698,69.26175598573074,4.662049160820374,False,True
DEBW522AA0002574d,S0091,S0092,1.5000000001629814,0.03351667005231823,7.699495441215731e-05,True,True
DEBW522AA0002574d,S0093,S0094,1.500000000128057,0.0541811896102046,0.0001762101556153084,True,True
DEBW522AA0002574d,S0093,S0096,1.4956603888688844,13.811662793590456,0.0024206598202738405,False,True
DEBW522AA0002574d,S0093,S0144,0.13038404775226425,83.07345917325652,6.384742584978852,False,True
DEBW522AA0002574d,S0094,S0134,0.13892444004064103,83.03002032152342,3.2797815816498144,False,True
DEBW522AA0002574d,S0095,S0096,1.5164432067293423,0.04463062166541898,1.1065109219998703e-06,True,True
DEBW522AA0002574d,S0095,S0097,1.4956603888996296,13.9751774912086,0.0002499913098858997,False,True
DEBW522AA0002574d,S0095,S0144,0.2469817806140698,69.30223926766944,5.309144692027246,False,True
DEBW522AA0002574d,S0096,S0134,0.24853720879569807,69.26179637966604,3.2764273131022037,False,True
DEBW522AA0002574d,S0097,S0098,1.546900125598607,0.10275318816642014,1.5437809906870825e-05,True,True
DEBW522AA0002574d,S0097,S0144,0.39962482405597566,55.3270617764608,4.655699106003993,False,True
DEBW522AA0002574d,S0098,S0099,1.4904026297977728,13.897337279952195,0.001960051531654017,False,True
DEBW522AA0002574d,S0098,S0134,0.39115214430590883,55.42018884373223,2.083445433506654,False,True
DEBW522AA0002574d,S0099,S0100,1.577085920339204,0.05118708255822115,2.597840705220733e-06,True,True
DEBW522AA0002574d,S0099,S0144,0.5162363802208871,41.52285156377999,3.622837017758485,False,True
DEBW522AA0002574d,S0100,S0134,0.525012164776713,41.476452713173984,1.6784633135611955,False,True
DEBW522AA0002574d,S0101,S0102,1.6362457020068975,0.00978902112261636,5.915309202464414e-07,True,True
DEBW522AA0002574d,S0101,S0103,1.49040262976731,12.777923337879214,0.00014976624436258135,False,True
DEBW522AA0002574d,S0101,S0144,0.19867962219845628,19.255736333215,3.054701969668969,False,True
DEBW522AA0002574d,S0102,S0105,1.4956603888688844,12.91235464248163,0.0003948600726175755,False,True
DEBW522AA0002574d,S0102,S0134,0.6603786790445478,19.246853753999336,1.217848477996597,False,True
DEBW522AA0002574d,S0103,S0119,1.4956603888996296,12.955622126878218,0.0010672515616647615,False,True
DEBW522AA0002574d,S0103,S0134,0.6826695498740285,6.477813052279229,0.9298156643310733,False,True
DEBW522AA0002574d,S0103,S0144,0.6911860668011927,6.477813052279229,2.9426009960090767,False,True
DEBW522AA0002574d,S0104,S0105,1.495660389659692,12.854063260426422,0.0013634512399960386,False,True
DEBW522AA0002574d,S0104,S0107,1.4904026305913702,12.852379980241045,0.0009003963500902046,False,True
DEBW522AA0002574d,S0104,S0134,0.4854894436653591,45.01327165690743,1.5851745638735792,False,True
DEBW522AA0002574d,S0104,S0144,0.4939635612776316,45.01327165690743,4.075522794851906,False,True
DEBW522AA0002574d,S0105,S0134,0.5831716086160492,32.15920839648098,1.3931642672585838,False,True
DEBW522AA0002574d,S0105,S0144,0.5831082406070696,32.15920839648098,3.486721116058334,False,True
DEBW522AA0002574d,S0106,S0107,1.4956603896904372,12.886060241080962,0.002907441456784454,False,True
DEBW522AA0002574d,S0106,S0134,0.22474268877474002,70.7517118782212,2.8445225528632534,False,True
DEBW522AA0002574d,S0107,S0134,0.3777353151102446,57.86565163714852,2.090914539479769,False,True
DEBW522AA0002574d,S0107,S0144,0.3689304157784854,57.86565163714852,4.226611991564738,False,True
DEBW522AA0002574d,S0108,S0134,5.9911351178729,0.0,4.819999999999993,False,True
DEBW522AA0002574d,S0110,S0111,1.498432514114539,0.04977975286372507,0.0001161752412599526,True,True
DEBW522AA0002574d,S0111,S0124,0.09433981118630684,83.559613774855,6.41238732317467,False,True
DEBW522AA0002574d,S0112,S0116,1.4956603888688844,12.808056647740106,0.017778518903668328,False,True
DEBW522AA0002574d,S0112,S0134,0.1305272182141637,83.55999347170616,3.5013989669716636,False,True
DEBW522AA0002574d,S0112,S0144,0.12207876504933118,83.55999347170616,6.098689836718279,False,True
DEBW522AA0002574d,S0113,S0114,1.500000000128057,0.054087137704201704,7.595154326622833e-05,True,True
DEBW522AA0002574d,S0113,S0134,0.13897971735780776,83.04251612505792,3.9491483402404413,False,True
DEBW522AA0002574d,S0114,S0144,0.13038404825226851,83.08585197475936,6.395005921382506,False,True
DEBW522AA0002574d,S0115,S0116,1.49040262976731,12.930456744649572,0.0028564158050983224,False,True
DEBW522AA0002574d,S0115,S0118,1.495660389659692,12.808258308543442,0.0013261012165060038,False,True
DEBW522AA0002574d,S0115,S0134,0.3721883589721272,57.82148008245109,2.4202435015348556,False,True
DEBW522AA0002574d,S0115,S0144,0.3635931794661082,57.82148008245109,4.65543133586857,False,True
DEBW522AA0002574d,S0116,S0134,0.22472205060408926,70.75193682640736,3.309457123483412,False,True
DEBW522AA0002574d,S0116,S0144,0.23323807586129394,70.75193682640736,4.652574920063472,False,True
DEBW522AA0002574d,S0117,S0118,1.4904026297977728,12.854020529398563,0.0010914264958898912,False,True
DEBW522AA0002574d,S0117,S0120,1.4956603896904372,12.912370725459413,0.000716806044721352,False,True
DEBW522AA0002574d,S0117,S0134,0.5883026429873788,32.15920124452167,1.2161948602567634,False,True
DEBW522AA0002574d,S0118,S0134,0.48549429284526635,45.01322177390998,1.7532089237927266,False,True
DEBW522AA0002574d,S0118,S0144,0.4939635612776316,45.01322177390998,3.582061927079394,False,True
DEBW522AA0002574d,S0119,S0121,1.4956603896904372,12.777904080790126,0.00011758340778555976,False,True
DEBW522AA0002574d,S0119,S0134,0.6826419268257002,6.477809074599113,0.9110787901228434,False,True
DEBW522AA0002574d,S0119,S0144,0.6826419263345553,6.477809074599113,2.9115336398701004,False,True
DEBW522AA0002574d,S0120,S0121,1.6263455970665635,0.009789023766087182,7.698281478951685e-08,True,True
DEBW522AA0002574d,S0120,S0144,0.6651335747948491,19.246830519066997,2.9891604467920274,False,True
DEBW522AA0002574d,S0121,S0134,0.6551634707592691,19.255713098146565,1.0769530558238785,False,True
DEBW522AA0002574d,S0122,S0123,22.330644862353488,0.002318443834069536,8.459306855002069e-08,True,True
DEBW522AA0002574d,S0122,S0125,12.593087856353927,13.305150415191113,6.180035435279194,False,True
DEBW522AA0002574d,S0122,S0139,25.166175712658973,0.029037955205314735,1.784570372365124e-06,True,True
DEBW522AA0002574d,S0123,S0141,15.10670825007541,26.854883763547928,0.005293878435338684,False,True
DEBW522AA0002574d,S0123,S0145,10.742848783914841,26.609260956118998,0.0004302755722278562,False,True
DEBW522AA0002574d,S0124,S0134,2.425283488251059,0.0,1.9999999999999432,False,True
DEBW522AA0002574d,S0124,S0135,51.92771899490697,0.0,7.250000000000142,False,True
DEBW522AA0002574d,S0124,S0144,3.915673633040248,0.0,5.684341886080802e-14,True,True
DEBW522AA0002574d,S0125,S0126,7.144403403930947,0.0,3.639999999999958,False,True
DEBW522AA0002574d,S0125,S0135,7.935517683855869,0.0,3.810000000000173,False,True
DEBW522AA0002574d,S0125,S0139,25.176175713366778,13.33418837041517,6.180035515599059,False,True
DEBW522AA0002574d,S0126,S0143,0.09433981123566684,0.0,3.9899999999999807,False,True
DEBW522AA0002574d,S0127,S0129,1.4904026297977728,12.841115672096972,0.0008628252719518059,False,True
DEBW522AA0002574d,S0127,S0132,1.4956603888996296,12.895864301237866,0.0006279517804159696,False,True
DEBW522AA0002574d,S0127,S0134,0.5024937809344151,45.037952933971546,2.043836546393891,False,True
DEBW522AA0002574d,S0127,S0144,0.4939635612776316,45.037952933971546,4.039942696547371,False,True
DEBW522AA0002574d,S0128,S0129,1.604618334760975,0.02521435296891504,2.847266159733408e-06,True,True
