building_id,surface_uid,physical_facet_uid,component_size
DEBW522AA00043ffc,S0179,DEBW522AA00043ffc_PF007,1
DEBW522AA00043ffc,S0180,DEBW522AA00043ffc_PF008,1
DEBW522AA00043ffc,S0181,DEBW522AA00043ffc_PF009,1
DEBW522AA00043ffc,S0182,DEBW522AA00043ffc_PF010,1
DEBW522AA00043ffc,S0183,DEBW522AA00043ffc_PF011,1
DEBW522AA00043ffc,S0185,DEBW522AA00043ffc_PF012,1
DEBW522AA00043ffc,S0186,DEBW522AA00043ffc_PF013,1
DEBW522AA00043ffc,S0187,DEBW522AA00043ffc_PF014,1
DEBW522AA00043ffc,S0188,DEBW522AA00043ffc_PF015,1
DEBW522AA00043ffc,S0189,DEBW522AA00043ffc_PF016,1
DEBW522AA00043ffc,S0190,DEBW522AA00043ffc_PF017,1
DEBW522AA00043ffc,S0191,DEBW522AA00043ffc_PF018,2
DEBW522AA00043ffc,S0213,DEBW522AA00043ffc_PF018,2
DEBW522AA00043ffc,S0192,DEBW522AA00043ffc_PF019,1
DEBW522AA00043ffc,S0193,DEBW522AA00043ffc_PF020,1
DEBW522AA00043ffc,S0194,DEBW522AA00043ffc_PF021,1
DEBW522AA00043ffc,S0195,DEBW522AA00043ffc_PF022,1
DEBW522AA00043ffc,S0196,DEBW522AA00043ffc_PF023,1
DEBW522AA00043ffc,S0197,DEBW522AA00043ffc_PF024,1
DEBW522AA00043ffc,S0198,DEBW522AA00043ffc_PF025,1
DEBW522AA00043ffc,S0200,DEBW522AA00043ffc_PF026,1
DEBW522AA00043ffc,S0201,DEBW522AA00043ffc_PF027,1
DEBW522AA00043ffc,S0202,DEBW522AA00043ffc_PF028,1
DEBW522AA00043ffc,S0203,DEBW522AA00043ffc_PF029,1
DEBW522AA00043ffc,S0204,DEBW522AA00043ffc_PF030,1
DEBW522AA00043ffc,S0206,DEBW522AA00043ffc_PF031,1
DEBW522AA00043ffc,S0207,DEBW522AA00043ffc_PF032,1
DEBW522AA00043ffc,S0208,DEBW522AA00043ffc_PF033,1
DEBW522AA00043ffc,S0209,DEBW522AA00043ffc_PF034,1
DEBW522AA00043ffc,S0210,DEBW522AA00043ffc_PF035,1
DEBW522AA00043ffc,S0211,DEBW522AA00043ffc_PF036,1
DEBW522AA00043ffc,S0212,DEBW522AA00043ffc_PF037,1
DEBW522AA00043ffc,S0214,DEBW522AA00043ffc_PF038,2
DEBW522AA00043ffc,S0216,DEBW522AA00043ffc_PF038,2
DEBW522AA00043ffc,S0215,DEBW522AA00043ffc_PF039,2
DEBW522AA00043ffc,S0217,DEBW522AA00043ffc_PF039,2
DEBW522AA00043ffc,S0218,DEBW522AA00043ffc_PF040,4
DEBW522AA00043ffc,S0235,DEBW522AA00043ffc_PF040,4
DEBW522AA00043ffc,S0237,DEBW522AA00043ffc_PF040,4
DEBW522AA00043ffc,S0247,DEBW522AA00043ffc_PF040,4
DEBW522AA00043ffc,S0219,DEBW522AA00043ffc_PF041,2
DEBW522AA00043ffc,S0236,DEBW522AA00043ffc_PF041,2
DEBW522AA00043ffc,S0220,DEBW522AA00043ffc_PF042,1
DEBW522AA00043ffc,S0221,DEBW522AA00043ffc_PF043,1
DEBW522AA00043ffc,S0222,DEBW522AA00043ffc_PF044,1
DEBW522AA00043ffc,S0223,DEBW522AA00043ffc_PF045,1
DEBW522AA00043ffc,S0224,DEBW522AA00043ffc_PF046,1
DEBW522AA00043ffc,S0225,DEBW522AA00043ffc_PF047,2
DEBW522AA00043ffc,S0232,DEBW522AA00043ffc_PF047,2
DEBW522AA00043ffc,S0226,DEBW522AA00043ffc_PF048,1
DEBW522AA00043ffc,S0227,DEBW522AA00043ffc_PF049,2
DEBW522AA00043ffc,S0253,DEBW522AA00043ffc_PF049,2
DEBW522AA00043ffc,S0228,DEBW522AA00043ffc_PF050,1
DEBW522AA00043ffc,S0229,DEBW522AA00043ffc_PF051,1
DEBW522AA00043ffc,S0230,DEBW522AA00043ffc_PF052,1
DEBW522AA00043ffc,S0231,DEBW522AA00043ffc_PF053,1
DEBW522AA00043ffc,S0233,DEBW522AA00043ffc_PF054,1
DEBW522AA00043ffc,S0234,DEBW522AA00043ffc_PF055,1
DEBW522AA00043ffc,S0238,DEBW522AA00043ffc_PF056,1
DEBW522AA00043ffc,S0239,DEBW522AA00043ffc_PF057,1
DEBW522AA00043ffc,S0240,DEBW522AA00043ffc_PF058,1
DEBW522AA00043ffc,S0241,DEBW522AA00043ffc_PF059,1
DEBW522AA00043ffc,S0242,DEBW522AA00043ffc_PF060,1
DEBW522AA00043ffc,S0243,DEBW522AA00043ffc_PF061,1
DEBW522AA00043ffc,S0244,DEBW522AA00043ffc_PF062,1
DEBW522AA00043ffc,S0245,DEBW522AA00043ffc_PF063,1
DEBW522AA00043ffc,S0246,DEBW522AA00043ffc_PF064,1
DEBW522AA00043ffc,S0248,DEBW522AA00043ffc_PF065,1
DEBW522AA00043ffc,S0249,DEBW522AA00043ffc_PF066,1
DEBW522AA00043ffc,S0250,DEBW522AA00043ffc_PF067,1
DEBW522AA00043ffc,S0251,DEBW522AA00043ffc_PF068,1
DEBW522AA00043ffc,S0252,DEBW522AA00043ffc_PF069,1
DEBW522AA00043ffc,S0254,DEBW522AA00043ffc_PF070,1
DEBW522AA00043ffc,S0255,DEBW522AA00043ffc_PF071,1
DEBW522AA00043ffc,S0256,DEBW522AA00043ffc_PF072,1
DEBW522AA00043ffc,S0257,DEBW522AA00043ffc_PF073,1
DEBW522AA00043ffc,S0258,DEBW522AA00043ffc_PF074,1
DEBW522AA00007f7e,S0259,DEBW522AA00007f7e_PF001,1
DEBW522AA00007f7e,S0260,DEBW522AA00007f7e_PF002,1
DEBW522AA00007f7e,S0261,DEBW522AA00007f7e_PF003,1
DEBW522AA00007f7e,S0262,DEBW522AA00007f7e_PF004,1
DEBW522AA000330e9,S0263,DEBW522AA000330e9_PF001,1
DEBW522AA000330e9,S0271,DEBW522AA000330e9_PF002,1
DEBW522AA000330e9,S0272,DEBW522AA000330e9_PF003,1
DEBW522AA000330e9,S0273,DEBW522AA000330e9_PF004,1
