building_id,building_name,physical_facet_uid,source_surface_uids,source_surface_count,part_ids,plan_wkt,area_plan,area_3d,tilt_deg
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF003,S0025,1,DEBW522AA0002574e,"POLYGON ((513304.6 5403325.34, 513305.39 5403326.61, 513305.6 5403326.48, 513304.81 5403325.21, 513304.6 5403325.34))",0.3694000000041211,1.0418059404939044,69.2325030742344
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF004,S0026|S0027,2,DEBW522AA0002574e,"POLYGON ((513308.92 5403322.67, 513309.7 5403323.94, 513310.27 5403323.59, 513309.48 5403322.32, 513308.92 5403322.67))",0.9923000000979985,1.0510702854192335,19.250647474912945
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF005,S0028,1,DEBW522AA0002574e,"POLYGON ((513308.32 5403323.04, 513309.11 5403324.31, 513309.7 5403323.94, 513308.92 5403322.67, 513308.32 5403323.04))",1.04609999973604,1.052759323280965,6.447885795267925
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF006,S0029|S0030,2,DEBW522AA0002574e,"POLYGON ((513303.3 5403326.15, 513304.08 5403327.42, 513304.61 5403327.09, 513303.82 5403325.82, 513303.3 5403326.15))",0.925799999817554,1.0451158632359985,27.645572452864656
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF007,S0031,1,DEBW522AA0002574e,"POLYGON ((513302.72 5403326.5, 513303.51 5403327.77, 513304.08 5403327.42, 513303.3 5403326.15, 513302.72 5403326.5))",1.0049999994767131,1.0352152572160807,13.877060315457344
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF008,S0032|S0033,2,DEBW522AA0002574e,"POLYGON ((513304.27 5403325.55, 513305.05 5403326.82, 513305.39 5403326.61, 513304.6 5403325.34, 513304.27 5403325.55))",0.5903000001233769,1.0376280874158503,55.326889420882196
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF009,S0034|S0035,2,DEBW522AA0002574e,"POLYGON ((513303.82 5403325.82, 513304.61 5403327.09, 513305.05 5403326.82, 513304.27 5403325.55, 513303.82 5403325.82))",0.7771000000248663,1.0389309566229654,41.58426392050987
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF010,S0036|S0040,2,DEBW522AA0002574e,"POLYGON ((513310.93 5403321.43, 513311.71 5403322.7, 513311.82 5403322.63, 513311.04 5403321.36, 513310.93 5403321.43))",0.1942999998555053,1.7448591012799703,83.6065285950823
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF011,S0037|S0045,2,DEBW522AA0002574e,"POLYGON ((513310.73 5403321.55, 513311.52 5403322.82, 513311.71 5403322.7, 513310.93 5403321.43, 513310.73 5403321.55))",0.34185000019494916,1.0324809285157597,70.66470622867912
DEBW522AA0002574d,08111000_0_002_30740_000,DEBW522AA0002574d_PF012,S0038|S0039,2,DEBW522AA0002574e,"POLYGON ((513305.72 5403324.65, 513305.61 5403324.72, 513306.39 5403325.99, 513306.5 5403325.92, 513305.72 5403324.65))",0.19429999985550528,1.7448663624507394,83.60655531216398
