building_id,physical_facet_uid,usable_area_m2,gross_area_3d_m2,gross_area_plan_m2,tilt_deg,source_surface_count,modules
DEBW522AA0000ea62,DEBW522AA0000ea62_PF001,362.6497790090404,362.64977900904046,359.9379000028541,7.011324766710394,4,156
DEBW522AA0000ea62,DEBW522AA0000ea62_PF002,857.959549999859,857.959549999859,857.9595499998591,0.0,1,408
DEBW522AA0000ea62,DEBW522AA0000ea62_PF003,191.83289999910258,191.8328999991026,191.83289999910258,0.0,1,89
DEBW522AA0000ea62,DEBW522AA0000ea62_PF004,36.91724999936304,36.91724999936304,36.91724999936303,0.0,1,12
DEBW522AA0000ea62,DEBW522AA0000ea62_PF005,212.77670000290718,212.77670000290718,212.77670000290715,0.0,1,100
DEBW522AA0000ea62,DEBW522AA0000ea62_PF006,978.4514499896947,978.4514499896947,978.4514499896948,0.0,1,460
DEBW522AA0000ea62,DEBW522AA0000ea62_PF007,1804.7309000003465,1804.7309000003486,1804.7309000003477,0.0,2,733
DEBW522AA00010752,DEBW522AA00010752_PF001,64.43644999913832,64.45080000015399,64.45080000015399,0.0,1,28
DEBW522AA00010752,DEBW522AA00010752_PF002,66.01300000336332,66.0130000033633,66.0130000033633,0.0,1,24
DEBW522AA00010752,DEBW522AA00010752_PF003,307.91209999986654,307.91209999986654,307.9120999998665,0.0,1,144
DEBW522AA00010752,DEBW522AA00010752_PF004,22.887550001808606,22.887550001808606,22.887550001808606,0.0,1,8
DEBW522AA00010752,DEBW522AA00010752_PF005,193.11094999554632,193.1109499955463,193.1109499955463,0.0,1,84
DEBW522AA00010752,DEBW522AA00010752_PF006,43.94429999968787,43.94429999968787,43.94429999968787,0.0,1,19
DEBW522AA00014ad3,DEBW522AA00014ad3_PF001,47.455149999768324,47.455149999768324,47.45514999976833,0.0,1,16
DEBW522AA00014ad3,DEBW522AA00014ad3_PF002,35.98375000042667,35.98375000042666,35.98375000042666,0.0,1,15
DEBW522AA00014ad3,DEBW522AA00014ad3_PF003,351.7408500034469,351.74085000344695,351.7408500034469,0.0,1,157
DEBW522AA00014ad3,DEBW522AA00014ad3_PF004,88.12099999953621,88.12099999953622,88.1209999995362,0.0,1,32
DEBW522AA00014ad3,DEBW522AA00014ad3_PF005,88.12099999953618,88.12099999953618,88.1209999995362,0.0,1,32
DEBW522AA00014ad3,DEBW522AA00014ad3_PF006,17.897950001861737,17.897950001861737,17.89795000186174,0.0,1,0
DEBW522AA00014ad3,DEBW522AA00014ad3_PF007,17.897950001861737,17.897950001861737,17.897950001861737,0.0,1,0
DEBW522AA00014ad3,DEBW522AA00014ad3_PF008,44.4775499976098,44.4775499976098,44.4775499976098,0.0,1,20
DEBW522AA00014ad3,DEBW522AA00014ad3_PF009,0.5911000000494886,0.5911000000494886,0.5911000000494884,0.0,1,0
DEBW522AA00014ad3,DEBW522AA00014ad3_PF010,86.8385000042257,86.83850000422571,86.83850000422571,0.0,1,31
DEBW522AA00014ad3,DEBW522AA00014ad3_PF011,92.47150000217482,92.47150000217482,92.47150000217482,0.0,1,35
DEBW522AA00014ad3,DEBW522AA00014ad3_PF012,64.89580000924136,64.89580000924137,64.89580000924137,0.0,1,21
DEBW522AA00014ad3,DEBW522AA00014ad3_PF013,26.548750000299194,26.54875000029919,26.548750000299187,0.0,1,10
DEBW522AA00014ad3,DEBW522AA00014ad3_PF014,86.8385000042257,86.83850000422571,86.83850000422571,0.0,1,32
DEBW522AA00014ad3,DEBW522AA00014ad3_PF015,47.949149997496065,47.949149997496065,47.949149997496065,0.0,1,13
DEBW522AA00014ad3,DEBW522AA00014ad3_PF016,525.0931499989629,525.0931499989629,525.0931499989628,0.0,1,235
DEBW522AA00014ad3,DEBW522AA00014ad3_PF017,92.47150000217482,92.47150000217484,92.47150000217482,0.0,1,35
DEBW522AA00015486,DEBW522AA00015486_PF001,870.1058000001597,870.1058000001598,870.1058000001598,0.0,1,402
DEBW522AA00015486,DEBW522AA00015486_PF002,1282.2898999947927,1282.2898999947931,1282.2898999947924,0.0,1,537
DEBW522AA00015486,DEBW522AA00015486_PF003,634.7385999871892,634.738599987189,634.738599987189,0.0,1,290
DEBW522AA00016048,DEBW522AA00016048_PF001,277.8950499944776,277.8950499944776,277.89504999447763,0.0,1,124
DEBW522AA00016048,DEBW522AA00016048_PF002,419.75059999580077,419.75059999580094,419.7505999958008,0.0,1,143
DEBW522AA00016048,DEBW522AA00016048_PF003,409.0267500038025,409.0267500038025,409.0267500038025,0.0,1,171
DEBW522AA00016048,DEBW522AA00016048_PF004,232.5979000025634,232.59790000256342,232.59790000256328,0.0,1,100
DEBW522AA00016048,DEBW522AA00016048_PF005,286.24970001043056,286.2497000104305,286.24970001043056,0.0,1,119
DEBW522AA00016048,DEBW522AA00016048_PF006,280.2846500081895,280.2846500081894,280.2846500081895,0.0,1,115
DEBW522AA00016048,DEBW522AA00016048_PF007,51.85809999935647,51.85809999935647,51.85809999935647,0.0,1,18
DEBW522AA00016048,DEBW522AA00016048_PF008,1123.2826499849225,1123.282649984922,1123.2826499849218,0.0,1,477
DEBW522AA00016048,DEBW522AA00016048_PF009,309.1466000084751,309.14660000847516,309.14660000847505,0.0,1,126
DEBW522AA00023026,DEBW522AA00023026_PF001,288.7054999961916,288.7054999961915,288.7054999961916,0.0,1,126
DEBW522AA000241ff,DEBW522AA000241ff_PF001,51.44569999853535,51.44569999853535,51.44569999853534,0.0,1,17
DEBW522AA000241ff,DEBW522AA000241ff_PF002,39.8463999974179,39.8463999974179,39.8463999974179,0.0,1,15
DEBW522AA000241ff,DEBW522AA000241ff_PF003,544.7934000027476,544.7934000027475,544.7934000027474,0.0,1,252
DEBW522AA000241ff,DEBW522AA000241ff_PF004,37.81520000151028,37.81520000151028,37.815200001510284,0.0,1,16
DEBW522AA000241ff,DEBW522AA000241ff_PF005,234.8684499896276,234.86844998962763,234.86844998962775,0.0,2,76
DEBW522AA0002496d,DEBW522AA0002496d_PF001,507.88134999562095,507.881349995621,507.8813499956208,0.0,1,230
